Domande;Risposte;;;;;;;;;;;;;;;;;;;;;;;;
quante coppe ha vinto in totale il real madrid?;101;;;;;;;;;;;;;;;;;;;;;;;;
Chi _ nato prima tra Bellingham, Modric, Kroos e Valverde?;Modric;;;;;;;;;;;;;;;;;;;;;;;;
chi ha pi_ preso pi_ cartellini gialli tra Modric e Kroos?;Modric;;;;;;;;;;;;;;;;;;;;;;;;
Quanti gol ha segnato in nazionale Federico Valverde;6 gol;;;;;;;;;;;;;;;;;;;;;;;;
Chi tra Modric, Bellingham, Kroos e Valverde ha pi_ presenze in carriera;Modric;;;;;;;;;;;;;;;;;;;;;;;;
Quanti record ha Jude Bellingham;4 record;;;;;;;;;;;;;;;;;;;;;;;;
Qual _ lo stemma del Real Madrid?;motivo con strisce blu e bianche;;;;;;;;;;;;;;;;;;;;;;;;
Chi ha pi_ minuti giocati tra Bellingham, Modric e Kroos?;Modric;;;;;;;;;;;;;;;;;;;;;;;;
Qual _ l'acquisto pi_ costoso della storia del Real Madrid?;Eden Hazard;;;;;;;;;;;;;;;;;;;;;;;;
Quali maglie ha vestito Luka Modric in carriera?;3;;;;;;;;;;;;;;;;;;;;;;;;